task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar	cpus
114	1d/d3deab	65683898	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:CLAIRSTO (HG008-PB-TO)	CACHED	0	2026-01-08 23:36:20.070	3h 24m 21s	1h 36m 38s	2001.3%	114.8 GB	116.2 GB	1.7 TB	738.7 GB	24
125	a8/bd5662	65684000	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:CLAIRSTO (COLO829-PB-TO)	CACHED	0	2026-01-09 00:11:25.145	3h 15m 36s	1h 40m 53s	1940.8%	109.9 GB	111.1 GB	1.9 TB	736.1 GB	24
123	51/53141e	65683995	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_POST (COLO829-PB-TO)	CACHED	0	2026-01-09 00:10:36.260	5m 30s	4m 19s	423.4%	212.9 MB	741.2 MB	60.3 GB	705 B	2
203	2a/88cf88	65684471	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (CCS15-ONT)	CACHED	0	2026-01-09 05:00:35.915	11m 41s	10m 36s	111.8%	11.6 MB	208.4 MB	135.8 GB	5.4 KB	1
126	0d/d00aed	65683998	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (COLO829-PB-TO)	CACHED	0	2026-01-09 00:11:05.214	42m 1s	41m 23s	158.7%	246.6 MB	720.5 MB	60.3 GB	13.7 MB	6
149	de/8af87a	65684359	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:VCFSPLIT (COLO829-ONT-TO)	CACHED	0	2026-01-09 02:59:16.738	1m 45s	47s	132.7%	56.3 MB	228.7 MB	2.3 GB	2 GB	1
161	d7/ffa8e7	65684395	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:VCFSPLIT (HG008-ONT-TO)	CACHED	0	2026-01-09 03:21:41.724	1m 20s	43s	132.2%	54.8 MB	227.1 MB	2.2 GB	1.8 GB	1
124	b6/896b18	65683996	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MOSDEPTH (COLO829-PB-TO)	CACHED	0	2026-01-09 00:10:45.281	2m 41s	1m 41s	473.9%	1.9 GB	2.4 GB	60.9 GB	3.5 MB	6
205	dd/793f13	65684472	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (CCS15-ONT)	CACHED	0	2026-01-09 05:00:45.880	24m 41s	23m 55s	147.7%	6.1 GB	6.6 GB	135.8 GB	364.1 MB	6
153	d0/2ea386	65684363	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:LONGPHASE_PHASE (COLO829-ONT-TO)	CACHED	0	2026-01-09 03:01:01.800	6m 45s	5m 32s	698.2%	18.3 GB	29.7 GB	161.6 GB	680.4 MB	6
164	21/d09efe	65684396	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:LONGPHASE_PHASE (HG008-ONT-TO)	CACHED	0	2026-01-09 03:23:02.034	5m 14s	4m 59s	672.7%	14.9 GB	24.1 GB	150.2 GB	645.1 MB	6
158	37/ae0739	65684380	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:LONGPHASE_HAPLOTAG (COLO829-ONT-TO)	CACHED	0	2026-01-09 03:07:46.587	1h 9m 30s	1h 9m 2s	419.5%	6.5 GB	8.5 GB	160.2 GB	163.9 GB	6
